term,definition
Abdominal Aortic Aneurysm,An aneurysm that occurs in the section of the aorta that runs through the abdomen (abdominal aorta).
Abdominal Aortic Ultrasound,A non-invasive imaging procedure that uses high-frequency sound waves to view the structures of the abdomen and determine the presence of an aneurysm
Ablation,The removal or destruction of tissue
Abscess,A localized formation of pus in a cavity caused by the disintegration or displacement of tissue due to bacterial infection.
Achalasia,"A condition where the esophagus is not able to move food into the stomach. The lower esophageal muscle stays closed during swallowing, resulting in the backup of food."
Acute,Abrupt onset that usually is severe; happens for a limited period of time.
Adjuvant Therapy,Treatment provided in addition to the primary treatment to prevent cancer recurrence.
Advance Directive,"A document in which a person either states choices for medical treatment or designates someone who should make treatment choices if the person should become unable to make decisions. Most often the term refers to formal, written documents, but it can also be used to include spoken statements by the patient. Legal documents including the Living Will and Durable Power of Attorney for Health Care. A Living Will states what type of treatment you wish to receive in the event that you become physically or mentally unable to communicate your wishes. A Durable Power of Attorney for Health Care authorizes another person to make medical decisions for you when you are unable to do so for yourself."
Aerobic Exercise,"Exercise which can improve your functional ability and, in some cases, reduce symptoms of heart disease. It is repetitive in nature and involves the large muscle groups. Examples are walking, swimming, and cycling."
AHA,American Heart Association
Allograft (allogenic graft or homograft),"An organ or tissue transplanted from one individual to another of the same species, i.e. human to human."
Alveoli,"Thin-walled, small sacs located at the ends of the smallest airways in the lungs where the exchange of oxygen and carbon dioxide takes place."
Ambulatory Monitors,"Small portable electrocardiograph machines that are able to record the heart's rhythm. Each type of monitor has unique features related to length of recording time and ability to send the recordings over the phone. They include: Holter Monitor, Loop Recorder, and Transtelephonic transmitter."
Amyloidosis,A rare autoimmune disorder characterized by the buildup of abnormal protein in tissues. Amyloidosis can be a cause of heart valve disorders and heart failure.
Anemia,A condition characterized by a deficiency of red blood cells. Anemia reduces the amount of oxygen available to the body.
Aneurysm,"The abnormal dilatation (enlargement, bulging or stretching) of the wall of an artery, vein or heart caused by damage or weakness in the blood vessel wall. When aneurysms grow too large, they can rupture and the bleeding can be life threatening. In cardiac surgery, aneurysms usually apply to either the ascending, aortic arch, or descending aorta. Aneurysms that have grown too large should be replaced."
Angina (also called angina pectoris),"Discomfort or pressure, usually in the chest, caused by a temporarily inadequate blood supply to the heart muscle. Discomfort may also be felt in the neck, jaw or arms. A common symptom of coronary artery disease, angina usually occurs during periods of physical or emotional stress and is relieved by rest."
Angiogenesis,The spontaneous or drug-induced growth of new blood vessels. The growth of these vessels may help to alleviate coronary artery disease by rerouting blood flow around clogged arteries.
Angiogram / Angiography,An invasive imaging procedure that usually involves inserting a catheter into an artery leading to the heart muscle or brain and injecting a radioactive tracer into the blood stream via the catheter. This test is used to determine if there is fatty build-up or plaque in the arteries causing narrowing. Coronary angiography is also called cardiac catheterization.
Angioplasty,"An invasive procedure, during which a specially designed balloon catheter with a small balloon tip is guided to the point of narrowing in a artery. Once in place, the balloon is inflated to compress the fatty matter into the artery wall and stretch the artery open to increase blood flow through the blood vessel."
Angiotensin II Receptor Blockers (ARBs),A class of medicines used to treat high blood pressure.
Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors),A group of drugs used to treat high blood pressure and heart failure. ACE inhibitors block a specific enzyme (ACE or angiotensin-converting enzyme) which retains salt in the kidney and can cause heart and blood pressure problems.
Ankle Transmetatarsal and Toe Tracings,A procedure used to test the arterial blood flow to the hands and feet.
Annulus,A ring of tough fibrous tissue which is attached to and supports the leaflets of the heart valve.
Anomalous Coronary Artery,"The normal anatomy for the coronary arteries involves their origin from the aorta at each of two separate sites. Sometimes people can be born with the origin of a coronary artery that comes from an abnormal site and this can lead to problems of coronary ischemia which can subsequently lead to heart attack. Not all coronary anomalies need surgery, but some do and the specific operation depends on which of the many varieties of coronary anomalies is present."
Antiarrhythmic,A drug that is used to treat abnormal heart rhythms.
Antibody,"A protein substance made by the body's immune system in response to a foreign substance, for example a previous transplant, blood transfusion or pregnancy. Because the antibodies attack the transplanted organ, transplant patients must take powerful immunosuppressive drugs."
Anticholinergics,"Also called cholinergic blockers or ""maintenance"" bronchodilators. Type of medication that helps open (dilate) the bronchial tubes (airways) to help move more air easily into and out of the lungs. Anticholinergics also help clear mucus from the airways. As the airways open, the mucus moves more freely and can therefore be coughed out more easily."
"Anticoagulant (""blood thinner"")",A medication that prevents blood from clotting; used for people at risk for stroke or blood clots.
Antigen,"A foreign molecule or substance, such as a transplant, that triggers an immune response. This response may be the production of antibodies."
Antihypertensive Drug,A drug that reduces hypertension (high blood pressure).
Antioxidant,"Part of a group of vitamins (A, B, C and E) that may help to limit the cellular damage caused by free radicals. Studies suggest that certain antioxidants may protect against coronary artery disease."
Antiplatelet Medication,"A medication, such as aspirin or Plavix (clopidogrel), used to prevent platelets from clumping together and causing the formation of blood clots. Used for people at risk for stroke or blood clots."
Aorta,Large artery leaving the heart. All blood pumped out of the left ventricle travels through the aorta on its way to other parts of the body.
Aortic Arch Replacement,"The aortic arch is that segment of the aorta between the ascending and descending portions. The aortic arch provides the origin for the blood vessels to the upper part of the body, specifically the arms and head. Surgical diseases of the aortic arch can require a replacement of this large blood vessel with preservation of the vessels to the upper body. The most common diseases requiring replacement are an aneurysm of the aortic arch or an aortic dissection involving the aortic arch."
Aortic Dissection,"The aorta is the main blood vessel leaving the heart and provides blood flow to the rest of the body. This blood vessel is made up of many layers. In certain circumstances, a tear develops in the middle layer, which allows blood to travel down the layer, setting up two channels - the ""true"" lumen or opening through the blood vessel and the new ""false"" lumen. Aortic dissection can be a life-threatening emergency, in some situations requiring emergency surgery to repair or replace that segment of the aorta."
Aortic Insufficiency,"Aortic insufficiency refers specifically to the aortic valve, which is the valve the blood passes through as it leaves the heart and enters the aorta. When blood leaks back through the valve it is known as aortic insufficiency. Small amounts of aortic insufficiency may be inconsequential, but larger amounts require repair or replacement of the aortic valve."
Aortic Valve,The aortic valve is the last valve through which the blood passes before it enters the aorta or main blood vessel of the body. The valve prevents blood from leaking back into the left ventricle from the aorta after it has been ejected from the heart.
Aortic Valve Homograft,When replacement of an aortic valve is necessary it is possible to replace the valve with another human valve known as an aortic valve homograft. This operation involves cardiopulmonary bypass
Aortic Valve Repair,"The aortic valve is the last valve in the heart through which the blood travels prior to circulating in the body. When this valve is leaking or too tight, the surgeon may be able to repair the valve rather than replace it."
Aortic Valve Replacement,"When the aortic valve is diseased, it can become either stenotic (too narrow) or insufficient (leaky). In such cases, the aortic valve may need to be replaced with either a prosthetic or human valve."
Arrhythmia,An irregular heart beat
Arterial Blood Gas Test,A blood test that measures oxygen and carbon dioxide in the blood.
Arterial Grafting,"In patients who require coronary artery bypass graft surgery, it is sometimes desirable to use arteries from other parts of the body to provide the bypass grafts. This is known as arterial grafting. The alternative is to use vein grafts for coronary bypass surgery."
Arteries,"Blood vessels that carry blood away from the heart to the arms, legs, head, body and organs."
Arteriogram,X-ray of an artery after dye is injected. Patient may or may not be admitted to the hospital after the test.
"Arteriosclerosis (""hardening of the arteries"")","The process whereby abnormal deposits of lipids, cholesterol and plaque build up, leading to narrowing or blockage in arteries taking blood to the hand, foot head or vital organs. Also called atherosclerosis."
Ascending Aorta Replacement,"The aorta is the main blood vessel that leaves the heart to provide blood flow to the rest of the body. When the ascending or first part of the aorta is diseased, it sometimes needs to be replaced. The replacement is most often done with a synthetic cloth tube."
Aspiration Pneumonia,A condition that occurs when the contents of the stomach or esophagus are breathed into the airways.
"Asthma, chronic","A disease of the air passages that carry air in and out of the lungs. Asthma causes the airways to narrow, the lining of the airways to swell and the cells that line the airways to produce more mucus. These changes make breathing difficult and cause a feeling of not getting enough air into the lungs. Common symptoms include shortness of breath, wheezing and excess mucus production."
Atelectasis,"Partial or complete collapse of the lung, usually due to a blockage of the air passages with fluid, mucus or infection. Symptoms include dry cough, chest pain and mild shortness of breath."
Atherectomy (DCA - Directional Coronary Atherectomy),"The DCA catheter has a hollow cylinder on the tip with an open window on one side and a balloon on the other. When the catheter is inserted into the narrowed artery, the balloon is inflated, pushing the window against the fatty matter clogging the vessel. A blade (cutter) within the cylinder rotates and shaves off any fat, which protruded into the window. The shavings are caught in a chamber within the catheter and removed. This process is repeated as needed to allow better blood flow."
Atheroma,"Large build-up of fat, cholesterol and other substances on the walls of an artery, causing narrowing. Also called plaque."
Atherosclerosis,"Commonly known as ""hardening of the arteries."" A disease in which fatty deposits accumulate on the inner walls of the arteries, causing narrowing or blockage that may result in a heart attack."
Atresia,The abnormal closure or absence of an opening or passage.
Atria,The upper chambers of the heart. Atrium refers to one chamber of the heart.
Atrial Fibrillation (AF),"Atrial fibrillation is an irregular heart rhythm in which many impulses begin and spread through the atria. The resulting rhythm is disorganized, rapid and irregular and the atria are not able to fully empty their contents into the ventricles."
Atrial Flutter,"Atrial flutter is a regular heart rhythm in which many impulses begin and spread through the atria. The resulting rhythm is organized, but so rapid that the atria are not able to fully empty their contents into the ventricles."
Atrial Myxoma,A myxoma is a tumor of the heart. It resides in the atrial chamber and causes symptoms when its growth produces a tumor so large it obstructs blood flow through the heart chambers.
Atrial Septal Defect (ASD),"The atria are the chambers of the heart in which the blood dwells prior to entering the ventricles, which are the main pumping chambers. The right and left atrial lie next to each other in the heart and there is a membranous wall or septum between the two. In some people, there can be a hole in the muscular wall or septum, known as an atrial septal defect. Tiny defects called patent foramen ovale are present in up to 30 percent of people and are of no consequence except in unusual circumstances. Moderate size to larger size defects should be corrected and may require heart surgery."
Atrioventricular (AV) Node,"A center of special cells located near the center of the heart that helps to regulate the heart rhythm. Here, the electrical current slows for a moment before going on to the ventricles."
Atrium,"The top filling chamber of the heart. There are two atria - the left and the right, divided by a muscular wall, called the septum. The atrium contracts before the ventricle to allow optimal filling of the ventricle."
Attending or Primary Physician,"The doctor who has the main responsibility for your care while you are in the hospital. There may be other doctors caring for you such as consulting doctors, resident doctors, and medical students."
Autonomic Nervous System (ANS),"A regulatory structure that helps people adapt to changes in their environment. It adjusts or modifies some functions in response to stress. The ANS helps regulate blood vessels' size and blood pressure, the heart's electrical activity and ability to contract, the bronchium's diameter (and thus air flow) in the lungs, the movement and work of the stomach, intestine and salivary glands, the secretion of insulin and the urinary and sexual functions. (www.heart.org/HEARTORG)"
Bacterial Endocarditis,Bacterial endocarditis is an infection of the heart's inner lining (endocardium) or the heart valves. This can damage or even destroy your heart valves.
Balloon (Pneumatic) Dilation,"A nonsurgical treatment for achalasia. While the patient is under light sedation, the gastroenterologist inserts a specially designed balloon through the lower esophageal sphincter and inflates it. The balloon disrupts the esophageal muscle to relieve the pressure that blocks food from passing easily into the stomach. Some patients may have to undergo repeat dilation treatments to achieve an improvement in symptoms, or other treatments may also be needed."
Balloon Angioplasty (PTCA - Percutaneous Transluminal Coronary Angioplasty),"A specially designed balloon catheter with a small balloon tip is guided to the point of narrowing in the artery. Once in place, the balloon is inflated to compress the fatty matter into the artery wall and stretch the artery open to increase blood flow through the blood vessel."
Barium Swallow Test,A test in which the patient swallows a barium sulfate preparation (liquid or other form) and its movement through the esophagus is evaluated using X-ray technology. Barium is safe and does not dissolve or react in the body. It is used as a contrast material because it blocks x-rays so the area being evaluated appears white against a dark background.
Barrett’s Esophagus,A condition that develops in some people who have chronic gastroesophageal reflux disease (GERD) or inflammation of the esophagus.
Batista Procedure,"During this surgical procedure, to treat heart failure, the surgeon cuts out a piece of the patient's enlarged left ventricular muscle. The intention is to reduce the size of the left ventricular cavity, improve left ventricular function and reverse congestive heart failure. This procedure is not performed at Cleveland Clinic Heart, Vascular & Thoracic Institute at this time because long term results revealed a significant failure rate, however, this procedure has led to better surgical techniques to treat those with heart failure (see infarct exclusion surgery)"
Beta Blocker,"A drug that slows heart rate, lowers blood pressure, controls angina and protects patients with prior heart attacks from future heart attacks."
Bicuspid Valve,A valve with two leaflets (cusps) instead of three.
Bioethicist,Professionals who are skilled in helping people make decisions about what is morally right and wrong.
Biopsy,The removal of a sample of tissue via a small needle. The tissue is removed for examination to determine a diagnosis.
BIPAP (Bi-Level Positive Airway Pressure) Machine,A breathing machine that uses two pressure levels (inspiratory and expiratory) to provide breathing assistance. This machine is often used for patients with sleep apnea or respiratory failure.
Blood,Thinners (anticoagulants) Medicine used to prevent clots from forming or getting larger. Heparin is generally given through the vein and Coumadin (warfarin) by mouth.
Blood Clot (thrombus),"A clot forms when clotting factors in the blood cause it to coagulate or become a solid, jelly-like mass. When a blood clot forms inside a blood vessel (a thrombus), it can dislodge and travel through the blood stream, causing a heart attack or stroke."
Blood Pressure,The force exerted in the arteries by blood as it circulates. It is divided into systolic (when the heart contracts) and diastolic (when the heart is filling) pressures.
Blood Typing,"A test that can help establish compatibility between two different types of blood. Blood types include A, B, AB or O."
Blood Urea Nitrogen (BUN),A waste product regularly removed by the kidneys and eliminated in the urine. Regular testing of the BUN level serves as an indicator of how well the kidney is functioning.
Blood Vessel,"A flexible tube that transports blood throughout the body. Arteries, veins, and capillaries are the body's blood vessels."
Body Mass Index,"The number, derived by dividing body weight by height squared; used to determine health risk created by excess body weight."
Botox (Botulinum Toxin) Injections,"A treatment for some patients with achalasia. Botox is a protein made by the bacteria that cause botulism. When injected into muscles in very small quantities, Botox can relax spastic muscles. It works by preventing nerves from sending signals to the muscles that tell them to contract."
Bradycardia,A slow heart rate.
Brain Death,"Brain damage that is so severe and extensive that the brain cannot recover. Breathing has stopped, but the circulation may still be continuing because of artificial ventilation. Donor organs can only be taken from people who are declared brain dead."
Breath Sounds,Sounds heard through a stethoscope. The intensity of the sound of air moving in and out of the lungs may indicate the amount of obstruction.
Breathing Rate,The number of breaths per minute.
Breathing Tube (endotracheal tube),A temporary tube put into the nose or mouth. Anesthesia or air and oxygen pass through the tube allowing artificial breathing.
Bronchi,A pair of breathing tubes that connect the trachea to the lungs. Oxygen and carbon dioxide travel in opposite directions through the bronchi.
Bronchial Tubes,Branches of the airways (air passages) in the lungs.
Bronchioles,The smallest branches of the airways in the lungs. They connect to the alveoli (air sacs).
"Bronchitis, chronic",Irritation and inflammation of the lining of the bronchial tubes. The irritation causes coughing and excess amounts of mucus in the airways which can lead to difficulty breathing. Bronchitis is considered chronic when the person has a productive cough (coughs up mucus) and shortness of breath that lasts at least three months each year for at least two years in a row.
Bronchodilator,Medication used to relax the muscle bands that tighten around the airways to increase air flow. Bronchodilators also help clear mucus from the lungs.
Bronchoscope,"A long, thin tube with a small camera at the end that is used to evaluate the airways. The bronchoscope is passed through the nose or mouth, past the vocal chords and down the airway as far as necessary. The camera transmits the images on a television monitor. Bronchoscopy can be used to remove objects or mucus blocking the airway, or to remove growths in the airway."
Bronchoscopy,"A diagnostic test used to view the inside of the airway. The test can be performed to diagnose lung diseases or locate the source of a problem by visualizing the throat, larynx, trachea and lungs and collecting tissue samples for biopsy."
Bronchospasm,"The sudden tightening of the bands of muscle that surround the airways, causing the airways to become narrower. Bronchospasm may result in wheezing."
Bruit,An abnormal sound heard when a stethoscope is placed over an artery.
Buerger’s Disease,"Most commonly affects the small and medium sized arteries, veins, and nerves. The arteries of the arms and legs become narrowed or blocked, causing lack of blood supply (ischemia) to the fingers, hands, toes and feet."
Bundle Branch,"The electrical impulses travel down a normal pathway through the heart. From the SA node, the impulse travels to the AV node. Then it goes to the bundle of His. The bundle divides into a right bundle and the left bundle. The bundles take the impulse through the ventricles (bottom chambers) to cause them to contract."
Bundle Branch Block,"Normally, the electrical impulse travels down both the right and left bundle branches at the same speed and the ventricles contract at the same time. If there is a block in one of the branches, it is called a bundle branch block. A bundle branch block causes one ventricle to contract just after the other ventricle."
Bypass,"A surgical procedure designed to increase blood flow to an organ or extremity that has narrowing or blockage of the blood supplying artery. Examples include coronary artery bypass surgery, aortic replacement, ABI (aorta-bi-iliac), ABF (aorto-bi-femoral), and femoral-popliteal bypass)"
C-reactive Protein (CRP),"CRP is a protein found in the blood. It is a marker for inflammation, meaning its presence indicates a heightened state of inflammation in the body. Inflammation is a normal response to many physical states including fever, injury and infection, and is now believed to play a role in the initiation and progression of cardiovascular disease."
Cadaveric Donor,An individual who has recently passed away of causes not affecting the organ intended for transplant. Cadaver organs usually come from people who have willed their organs before death by signing organ donor cards. Permission for donation also can be given by the deceased person's family at the time of death.
Calcification,A process in which tissue becomes hardened due to deposits of calcium salts. Calcification of blood vessels plays a role in the development of atherosclerosis.
Calcium,A mineral found mainly in dairy products that is used by the body as a building block of bone and for the proper functioning of organs and muscles. It is needed in many phases of blood clotting. Calcium is also an ingredient of artery-clogging plaque.
Calcium-Channel Blocker,"A drug that reduces spasm of the blood vessels, lowers blood pressure, and controls angina; acts by selectively blocking the uptake of calcium by the cells."
Cannula,A small plastic tube used to supply extra oxygen through the nose.
Capillaries,Tiny blood vessels connecting arteries to veins. These blood vessels carry oxygen and nutrients to individual cells.
Carbohydrate,"An organic compound, found in sugars, cereal, fruits and vegetables, that provide fuel for the body."
Carbon Dioxide,"A colorless, odorless gas that is formed in tissues of the body, created during metabolism when the cells use oxygen to burn fat and release energy. The lungs release it when you breathe out."
Carbon Monoxide,"A gas found in cigarette smoke; damages artery walls and reduces the ability of blood to carry oxygen, increasing the risk of coronary artery disease."
Carcinogen,Cancer-causing substance.
Cardiac Arrest,When the heart stops beating suddenly and respiration (breathing) and other body functions stop as a result.
Cardiac Auscultation,"The use of a stethoscope to listen to the sounds the heart makes as it contracts and relaxes. Cardiac auscultation can be used to evaluate the heart rate, rhythm, and flow through the valves."
Cardiac Catheterization,"An invasive imaging procedure that involves inserting a catheter into a blood vessel in the arm or leg, and guiding it to your heart with the aid of a special x-ray machine. Contrast dye is injected through the catheter so that x-ray movies of your valves, coronary arteries and heart chambers are taken. Cardiac catheterization is also called coronary angiography."
Cardiac Output,The amount of blood pumped by the heart each minute.
Cardiac Rehabilitation,"A structured program of education and activity guided toward lifestyle modification, increasing functional capabilities and peer support."
Cardiologist,Doctor specializing in the diagnosis and treatment of heart disease.
Cardiomyopathy,"An abnormal heart condition in which the heart is dilated (poor pumping power), restrictive (impaired ability of the heart to fill) and hypertrophic (enlarged heart)."
Cardiopulmonary Resuscitation (CPR),"CPR is a technique designed to temporarily circulate oxygenated blood through the body of a person whose heart has stopped. It involves assessing the airway; if necessary breathing for the person; determining if the person is pulseless; and if necessary, applying pressure to the chest to circulate blood."
Cardiovascular,Relates to the blood and blood vessels.
Cardioversion,A procedure used to convert an irregular heart rhythm to a normal heart rhythm by applying electric shock. Cardioversion may be accomplished using medications or a defibrillator.
"Carotid Angiography (carotid angiogram, carotid angio)","An invasive imaging procedure that involves inserting a catheter into a blood vessel in the arm or leg, and guiding it to the carotid arteries with the aid of a special x-ray machine. Contrast dye is injected through the catheter so that x-ray movies of your carotid arteries (the arteries that supply your brain with oxygen-rich blood) are taken."
Carotid Artery,A vessel that supplies the brain with oxygenated blood.
Carotid Artery Disease,A progressive disease which involves the buildup of fatty material and plaque in the carotid arteries; can lead to a stroke.
Carotid Bruit,"An abnormal sound, heard when using a stethoscope to listen to blood flow in the carotid artery. This is the main artery in the neck; it brings blood to the head."
Carotid Duplex Ultrasound,An imaging procedure that uses high-frequency sound waves to view the blood vessels in the neck to and determine the presence of narrowing in the carotid arteries.
Catheter,"A thin, flexible instrument used to introduce or withdraw fluids from the body. A catheter also may be used to monitor blood pressure."
Cerebral Embolism,A common cause of stroke - an embolus that has moved through the blood stream and obstructs an artery leading to the brain.
Cerebral Vascular Accident (CVA),The medical term used to describe a stroke
Chest X-ray,Used to view the lungs and lower respiratory tract. A chest X-ray may be used for diagnosis and therapy.
Cholesterol,A fatty substance that is acquired in part from certain foods. A high cholesterol level may lead to atherosclerosis.
Chordae Tendineae,"The thin, fibrous chords that lead from the valve leaflets to the small papillary muscles within the heart muscle wall, contributes to the support of the tricuspid and mitral valves."
Chronic,Continuing over a certain period of time; long-term.
Chronic Venous Insufficiency,"Damaged valves in the veins or a blood clot in the leg may cause ongoing swelling, blood pooling in the legs, and if untreated, discomfort and ulceration."
Cilia,Hair-like structures that line the airways in the lungs and help to clean out the airways.
Clinical Trial,"A research study or protocol conducted with patients to evaluate a new medical treatment, drug or device, to compare the effect and value of an intervention or treatment with a control. Control means there's no intervention or treatment given, only a placebo or standard treatment. Clinical researchers conduct clinical trials. ( A Guide to Understanding Clinical Trials ) The purpose of clinical trials is to find new and improved methods of treating different diseases and special conditions."
Clotting Factors,"A group of chemicals in the blood, including fibrinogen, prothrombin, and calcium, that combine to form thrombi."
Clubbing,"The ends of the fingers and toes enlarge and bend inward; related to inadequate oxygen-rich blood supply. Often seen with congenital heart defects, but also seen in other conditions."
Coagulation Problems,"Problem with blood clotting, either too much clotting or not enough."
Coarctation of the Aorta,"A severe narrowing of the aorta, causing a decrease in blood flow to the lower part of the body. This narrowing is a congenital defect and can be corrected with surgery."
Collagen Seal,"The seal is a protein material that is used after an invasive procedure (such as a cardiac catheterization) performed through the groin. The ""seal"" works with your body's natural healing processes to form a clot in the artery, decreasing the amount of time needed to lie flat. The collagen seal cannot be given to every patient for individual reasons. Once a seal has been placed in the groin artery, that artery cannot be used during another procedure for at least 3 months after the seal has been placed."
Collateral Blood Vessels,"Small capillary-like branches of the artery that form over time in response to narrowed coronary arteries. The collaterals ""bypass"" the area of narrowing and help to restore blood flow. However, during times of increased exertion, the collaterals may not be able to supply enough oxygen-rich blood to the heart muscle."
Commissurotomy,"The heart valves are made up of leaflets. The leaflets touch each other and the edge of the area where they come in contact is known as the commissures. In some patients, specifically those with rheumatic heart disease, the commissures can become scarred and fail to open and allow blood to flow through easily. In situations like this, the commissures can be released or reopened with a procedure known as commissurotomy."
Complete Heart Block (heart block),"An arrhythmia. The electrical current is slowed between the atria and ventricles. In more severe cases, conduction is blocked completely and the atria and ventricles beat independently."
Complex Carbohydrates,"Starchy foods that are good sources of energy and nutrients, such as bread, rice, pasta and grains."
Compliance,"The act of following orders and adhering to rules and policies, i.e. taking one's medications after transplant."
Complication,The occurrence of diseases or medical problems simultaneously in the body.
Computed Tomography (CT) Scan,An x-ray procedure that combines many x-ray images with the aid of a computer to generate cross-sectional views of the body.
Congenital Heart Defects,Heart defects present at birth.
Congestive Heart Failure (CHF),Also known as heart failure. A condition where the heart muscle weakens and can not pump blood efficiently throughout the body.
Connective Tissue Disease,"Disease caused by problem with collagen (the elastic support system in the body); can have a vascular component. Examples include Systemic Lupus Erythematosus (SLE), rheumatoid arthritis (RA). Can also be referred to mixed connective tissue diseases (MCTD)"
Constrictive Pericarditis,"The pericardium is the sac around the heart. In some patients, this sac can become inflamed and scarred. If this scarring process produces a contracture or shrinkage of the pericardium, it can prevent the heart from filling to its full extent. This disease is known as constrictive pericarditis."
Contraindication,Any condition which indicates that a particular course of treatment (or exercise) would be inadvisable or cause harm.
COPD - Chronic Obstructive Pulmonary Disease,"A general term used to describe several lung diseases. The most common diseases in this group include chronic bronchitis and emphysema. Chronic asthma may also be included. COPD worsens gradually, causing limited airflow in and out of the lungs."
Cor Pulmonale,Enlargement of the right side of the heart. Cor pulmonale weakens the heart and causes increased shortness of breath and swelling in the feet and legs. Patients who have chronic COPD with low oxygen levels may develop this condition.
Coronary Angiography,(cardiac catheterization) A procedure that allows picture to be taken of the arteries supplying the heart with blood (the coronary arteries). Angiography shows blockages in the arteries.
Coronary Arteries,"Network of blood vessels that branch off the aorta to supply the heart muscle with oxygen-rich blood. There are two main coronary arteries: the right and the left. The left splits into two arteries called the circumflex and the left anterior descending (LAD) arteries, thus, the heart is often considered to have three major coronary arteries."
Coronary Artery Disease (atherosclerosis),A build-up of fatty material in the wall of the coronary artery that causes narrowing of the artery.
Coronary Spasm,"During coronary spasm, the coronary arteries restrict or spasm on and off, causing lack of blood supply to the heart muscle. It may occur at rest and can even occur in people without significant coronary artery disease."
